store_id,store_location,store_address,latitude,longtitute
MG-IJWURC5GKXNSDU0WYVKW,İST BÜYÜKADA CD,"Maden Mah. Şehit Recep Koç Cad. No:38/A Büyükada/ADALAR, İSTANBUL",40.8746054,29.1304902
MG-O9ES1GAX0UT0LMEC4ED1,İST BRANDIUM AVM,"K.bakkalköy Mh., Dudullu Yolu Cd., Erenköy Gümrük Karşı 1B09/ATAŞEHİR, İSTANBUL",40.6013378,43.0974525
MG-0PAOFFWBA7LHKMQHZU5F,İST K.BAKKALKÖY CD,"Küçükbakkalköy Mahallesi, Fevzipaşa Cd. No:46/A/ATAŞEHİR, İSTANBUL",40.9789263,29.117322
MG-XNG4VMYICFBH7V9KRD9P,İST METROPOL AVM,"Atatürk Mah.Ertuğrul Gazi Cad.Metropol İstanbul AVM D12/ATAŞEHİR, İSTANBUL",40.9939749,29.1226758
MG-OT3HMPVMUMGHFKJ2XSL8,İST MOZAİK ÇARŞI AVM,"Atatürk Bulvarı No:1C 1D ATAŞEHİR/ATAŞEHİR, İSTANBUL",40.9869642,29.1319157
MG-CZPILZVKAZUAHNOIROBA,İST OPTİMUM AVM,"Yenisahra Mahallesi İstiklal Caddesi/ATAŞEHİR, İSTANBUL",41.0213777,29.1436103
MG-XYSU2IQIGAPSWURW4RZY,İST PALLADIUM AVM,"Barbaros Mah. Halk Cad. B79 Nolu mağaza, No:8/B/ATAŞEHİR, İSTANBUL",40.98750099999999,29.100184
MG-HGLGFZLGIHSV4E8KEV0D,İST WATERGARDEN AVM,"Barbaros Mahallesi Şebboy Sokak No:2 Batı Ataşehir/ATAŞEHİR, İSTANBUL",40.9980402,29.0997271
MG-UK1XOQD21BHA8OJA9NQV,İST BEYKOZ CD,"Merkez Mah. Fevzipaşa Cad. No:42/A/BEYKOZ, İSTANBUL",41.1429436,29.1782018
MG-QIZRDDGRTCPLIL0OQILI,İST KAVACIK CD,"Çubuklu Mah. Orhan Veli Kanık Cad./BEYKOZ, İSTANBUL",41.095094,29.087229
