current_id,current_latitude,current_longitude,duration,distance,next_id,next_latitude,next_longitude
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,6 dk.,"1,9 km",MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,7 dk.,"3,6 km",MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184
MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,6 dk.,"2,4 km",MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,43 dk.,"26,0 km",MG-UK1XOQD21BHA8OJA9NQV,41.1366471,29.090461
MG-XNG4VMYICFBH7V9KRD9P,40.9939749,29.1226758,6 dk.,"2,1 km",MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157
MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,43 dk.,"25,3 km",MG-UK1XOQD21BHA8OJA9NQV,41.1366471,29.090461
MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,6 dk.,"2,3 km",MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531
MG-XNG4VMYICFBH7V9KRD9P,40.9939749,29.1226758,7 dk.,"2,6 km",MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,4 dk.,"1,4 km",MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322
MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,6 dk.,"2,4 km",MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184
MG-XNG4VMYICFBH7V9KRD9P,40.9939749,29.1226758,8 dk.,"2,8 km",MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531
1
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,11 dk.,"4,7 km",MG-HGLGFZLGIHSV4E8KEV0D,40.9980402,29.0997271
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,17 dk.,"12,1 km",MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,8 dk.,"3,4 km",MG-XNG4VMYICFBH7V9KRD9P,40.9939749,29.1226758
MG-XNG4VMYICFBH7V9KRD9P,40.9939749,29.1226758,30 dk.,"16,6 km",MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229
MG-XNG4VMYICFBH7V9KRD9P,40.9939749,29.1226758,10 dk.,"3,4 km",MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322
MG-XNG4VMYICFBH7V9KRD9P,40.9939749,29.1226758,16 dk.,"5,4 km",MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,33 dk.,"18,1 km",MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229
