current_id,current_latitude,current_longitude,duration,distance,next_id,next_latitude,next_longitude
MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,5 dk.,"2,0 km",MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531
MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,8 dk.,"3,2 km",MG-XNG4VMYICFBH7V9KRD9P,40.9939749,29.1226758
MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,6 dk.,"2,5 km",MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157
MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,28 dk.,"25,3 km",MG-UK1XOQD21BHA8OJA9NQV,41.1366471,29.090461
MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,18 dk.,"16,8 km",MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229
MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,16 dk.,"11,4 km",MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103
MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,5 dk.,"2,4 km",MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184
MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,10 dk.,"4,0 km",MG-HGLGFZLGIHSV4E8KEV0D,40.9980402,29.0997271
MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,18 dk.,"13,5 km",MG-LJ99NJO1WVXRTWLTYJSS,41.034379,29.181869
MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103,15 dk.,"5,8 km",MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531
MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103,17 dk.,"6,4 km",MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322
MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103,14 dk.,"5,1 km",MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157
MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103,13 dk.,"5,1 km",MG-XNG4VMYICFBH7V9KRD9P,40.9939749,29.1226758
