id,date,current_id,current_latitude,current_longitude,duration,distance,next_id,next_latitude,next_longitude
DD-9C47E3C6D5D44012B832-2024-3-3,2024-3-3,MG-CEDQAJNDAVIO6SAUBPVX,40.9864251,29.066357,21 dk.,"8,8 km",MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157
DD-59EFF8E2E28142839675-2024-3-3,2024-3-3,MG-CEDQAJNDAVIO6SAUBPVX,40.9864251,29.066357,26 dk.,"12,4 km",MG-XSDFXJ93QHQOX0UBNDQN,41.0264167,29.1276244
DD-EFBD91290F4544E19EFF-2024-3-3,2024-3-3,MG-CEDQAJNDAVIO6SAUBPVX,40.9864251,29.066357,13 dk.,"5,0 km",MG-ZWI9E420TRNGRORREXG7,40.9899141,29.0844299
DD-5BA3ABFF6C3F432D90A8-2024-3-3,2024-3-3,MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157,17 dk.,"9,7 km",MG-XSDFXJ93QHQOX0UBNDQN,41.0264167,29.1276244
DD-699B4D5D759F409E851A-2024-3-3,2024-3-3,MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157,15 dk.,"5,6 km",MG-ZWI9E420TRNGRORREXG7,40.9899141,29.0844299
DD-03DDFA12506A40619D05-2024-3-3,2024-3-3,MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157,21 dk.,"7,3 km",MG-CEDQAJNDAVIO6SAUBPVX,40.9864251,29.066357
DD-D54E3971348B477AA54E-2024-3-3,2024-3-3,MG-XSDFXJ93QHQOX0UBNDQN,41.0264167,29.1276244,25 dk.,"8,9 km",MG-ZWI9E420TRNGRORREXG7,40.9899141,29.0844299
DD-9BC6395E07994441B27D-2024-3-3,2024-3-3,MG-XSDFXJ93QHQOX0UBNDQN,41.0264167,29.1276244,18 dk.,"6,1 km",MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157
DD-DDE12924C0844F469768-2024-3-3,2024-3-3,MG-XSDFXJ93QHQOX0UBNDQN,41.0264167,29.1276244,31 dk.,"10,5 km",MG-CEDQAJNDAVIO6SAUBPVX,40.9864251,29.066357
DD-6E772A43149545908A27-2024-3-3,2024-3-3,MG-ZWI9E420TRNGRORREXG7,40.9899141,29.0844299,8 dk.,"2,9 km",MG-CEDQAJNDAVIO6SAUBPVX,40.9864251,29.066357
DD-2DA6C73251184C2FA481-2024-3-3,2024-3-3,MG-ZWI9E420TRNGRORREXG7,40.9899141,29.0844299,21 dk.,"11,1 km",MG-XSDFXJ93QHQOX0UBNDQN,41.0264167,29.1276244
DD-FF59EC04A4D2465CB76D-2024-3-3,2024-3-3,MG-ZWI9E420TRNGRORREXG7,40.9899141,29.0844299,15 dk.,"5,6 km",MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157
DD-A37F29608EE0456289BC-2024-3-3,2024-3-3,MG-CEDQAJNDAVIO6SAUBPVX,40.9864251,29.066357,22 dk.,"8,8 km",MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157
DD-8C488062046C4820AC4A-2024-3-3,2024-3-3,MG-CEDQAJNDAVIO6SAUBPVX,40.9864251,29.066357,26 dk.,"12,4 km",MG-XSDFXJ93QHQOX0UBNDQN,41.0264167,29.1276244
DD-5F82531555ED4B41A1A6-2024-3-3,2024-3-3,MG-CEDQAJNDAVIO6SAUBPVX,40.9864251,29.066357,13 dk.,"5,0 km",MG-ZWI9E420TRNGRORREXG7,40.9899141,29.0844299
DD-851F3A7415F04E96BAFB-2024-3-3,2024-3-3,MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157,21 dk.,"7,3 km",MG-CEDQAJNDAVIO6SAUBPVX,40.9864251,29.066357
DD-B13E7B82FAF34CE5ABDB-2024-3-3,2024-3-3,MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157,17 dk.,"9,7 km",MG-XSDFXJ93QHQOX0UBNDQN,41.0264167,29.1276244
DD-09F102AC77D04DFD82B1-2024-3-3,2024-3-3,MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157,15 dk.,"5,6 km",MG-ZWI9E420TRNGRORREXG7,40.9899141,29.0844299
DD-7C3D5E9F4CDD4061986C-2024-3-3,2024-3-3,MG-XSDFXJ93QHQOX0UBNDQN,41.0264167,29.1276244,18 dk.,"6,1 km",MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157
DD-D8B513CA118845C9928C-2024-3-3,2024-3-3,MG-XSDFXJ93QHQOX0UBNDQN,41.0264167,29.1276244,29 dk.,"10,5 km",MG-CEDQAJNDAVIO6SAUBPVX,40.9864251,29.066357
DD-7CD3F2859EA34933B90C-2024-3-3,2024-3-3,MG-XSDFXJ93QHQOX0UBNDQN,41.0264167,29.1276244,24 dk.,"8,9 km",MG-ZWI9E420TRNGRORREXG7,40.9899141,29.0844299
DD-ECE87EB2A578418FA2E0-2024-3-3,2024-3-3,MG-ZWI9E420TRNGRORREXG7,40.9899141,29.0844299,8 dk.,"2,9 km",MG-CEDQAJNDAVIO6SAUBPVX,40.9864251,29.066357
DD-A8F8EF99FF144C4BBBAB-2024-3-3,2024-3-3,MG-ZWI9E420TRNGRORREXG7,40.9899141,29.0844299,21 dk.,"11,1 km",MG-XSDFXJ93QHQOX0UBNDQN,41.0264167,29.1276244
DD-DD58EA5F6A274511AC17-2024-3-3,2024-3-3,MG-ZWI9E420TRNGRORREXG7,40.9899141,29.0844299,15 dk.,"5,6 km",MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157
DD-73E1C38EB1B64D839574-2024-3-3,2024-3-3,MG-CEDQAJNDAVIO6SAUBPVX,40.9864251,29.066357,22 dk.,"8,8 km",MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157
DD-C812BE620DBE46908688-2024-3-3,2024-3-3,MG-CEDQAJNDAVIO6SAUBPVX,40.9864251,29.066357,30 dk.,"12,4 km",MG-XSDFXJ93QHQOX0UBNDQN,41.0264167,29.1276244
DD-036BC46EBC124CF1B2D2-2024-3-3,2024-3-3,MG-CEDQAJNDAVIO6SAUBPVX,40.9864251,29.066357,13 dk.,"5,0 km",MG-ZWI9E420TRNGRORREXG7,40.9899141,29.0844299
DD-40CB739CA96A411BA940-2024-3-3,2024-3-3,MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157,21 dk.,"7,3 km",MG-CEDQAJNDAVIO6SAUBPVX,40.9864251,29.066357
DD-D1958D8BE24E4A148F1A-2024-3-3,2024-3-3,MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157,20 dk.,"9,7 km",MG-XSDFXJ93QHQOX0UBNDQN,41.0264167,29.1276244
DD-F558FD05DE054664951E-2024-3-3,2024-3-3,MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157,15 dk.,"5,6 km",MG-ZWI9E420TRNGRORREXG7,40.9899141,29.0844299
DD-31B1FC421858411498E2-2024-3-3,2024-3-3,MG-XSDFXJ93QHQOX0UBNDQN,41.0264167,29.1276244,19 dk.,"6,1 km",MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157
DD-1A73301CF9F541758CBD-2024-3-3,2024-3-3,MG-XSDFXJ93QHQOX0UBNDQN,41.0264167,29.1276244,24 dk.,"8,7 km",MG-ZWI9E420TRNGRORREXG7,40.9899141,29.0844299
DD-26176D87B033421DB434-2024-3-3,2024-3-3,MG-XSDFXJ93QHQOX0UBNDQN,41.0264167,29.1276244,30 dk.,"10,5 km",MG-CEDQAJNDAVIO6SAUBPVX,40.9864251,29.066357
DD-3E40B2B6C9DC4AFC885E-2024-3-3,2024-3-3,MG-ZWI9E420TRNGRORREXG7,40.9899141,29.0844299,8 dk.,"2,9 km",MG-CEDQAJNDAVIO6SAUBPVX,40.9864251,29.066357
DD-E06A8393DC8F4E209DED-2024-3-3,2024-3-3,MG-ZWI9E420TRNGRORREXG7,40.9899141,29.0844299,25 dk.,"11,1 km",MG-XSDFXJ93QHQOX0UBNDQN,41.0264167,29.1276244
DD-FD0CA06416454E9FBD18-2024-3-3,2024-3-3,MG-ZWI9E420TRNGRORREXG7,40.9899141,29.0844299,15 dk.,"5,9 km",MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157
DD-4DF5551DC527497087E9-2024-3-3,2024-3-3,MG-CEDQAJNDAVIO6SAUBPVX,40.9864251,29.066357,28 dk.,"12,4 km",MG-XSDFXJ93QHQOX0UBNDQN,41.0264167,29.1276244
DD-A7EFEED2038A49DDBA36-2024-3-3,2024-3-3,MG-CEDQAJNDAVIO6SAUBPVX,40.9864251,29.066357,22 dk.,"8,8 km",MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157
