id,date,current_id,current_latitude,current_longitude,duration,distance,next_id,next_latitude,next_longitude
DD-709849233A424620AE4B-2024-2-29,2024-2-29,MG-CEDQAJNDAVIO6SAUBPVX,40.9864251,29.066357,24 dk.,"12,4 km",MG-XSDFXJ93QHQOX0UBNDQN,41.0264167,29.1276244
DD-FA7513C9ABC24BEA87CF-2024-2-29,2024-2-29,MG-CEDQAJNDAVIO6SAUBPVX,40.9864251,29.066357,40 dk.,"23,2 km",MG-WZHAOPZ0KLRM0T1ZN6U7,40.8765881,29.2596582
DD-F22DCC81005C417C9D46-2024-2-29,2024-2-29,MG-CEDQAJNDAVIO6SAUBPVX,40.9864251,29.066357,21 dk.,"8,8 km",MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157
DD-83FDF87B6D754413AE2C-2024-2-29,2024-2-29,MG-CEDQAJNDAVIO6SAUBPVX,40.9864251,29.066357,34 dk.,"20,0 km",MG-LTWVHHDZLN26T8PU8VJM,41.0102647,29.2160216
DD-BDD027C62F024CC2B364-2024-2-29,2024-2-29,MG-CEDQAJNDAVIO6SAUBPVX,40.9864251,29.066357,25 dk.,"11,8 km",MG-CYVLXXHQB244PVVXVYU5,40.9331636,29.12641279999999
DD-68E17A5A31274B5AB51B-2024-2-29,2024-2-29,MG-CEDQAJNDAVIO6SAUBPVX,40.9864251,29.066357,16 dk.,"5,0 km",MG-ZWI9E420TRNGRORREXG7,40.9899141,29.0844299
DD-DC077EF973AB4ECAA56E-2024-2-29,2024-2-29,MG-CEDQAJNDAVIO6SAUBPVX,40.9864251,29.066357,40 dk.,"22,3 km",MG-QI7EFZUASU1CI2X7OP2Z,40.877133,29.23435
DD-B8DE29AA1DF64DCBA1D6-2024-2-29,2024-2-29,MG-CEDQAJNDAVIO6SAUBPVX,40.9864251,29.066357,28 dk.,"9,7 km",MG-SQXXEQ2NDMBM6FYLKIVH,41.025016,29.0188198
DD-775EFC22B74148DCACD0-2024-2-29,2024-2-29,MG-CYVLXXHQB244PVVXVYU5,40.9331636,29.12641279999999,18 dk.,"8,5 km",MG-ZWI9E420TRNGRORREXG7,40.9899141,29.0844299
DD-F2FF992320334E869138-2024-2-29,2024-2-29,MG-CYVLXXHQB244PVVXVYU5,40.9331636,29.12641279999999,26 dk.,"11,1 km",MG-CEDQAJNDAVIO6SAUBPVX,40.9864251,29.066357
DD-810133CF273849739B5F-2024-2-29,2024-2-29,MG-CYVLXXHQB244PVVXVYU5,40.9331636,29.12641279999999,29 dk.,"16,0 km",MG-LTWVHHDZLN26T8PU8VJM,41.0102647,29.2160216
DD-21C1F0C0C2CB40B686A6-2024-2-29,2024-2-29,MG-CYVLXXHQB244PVVXVYU5,40.9331636,29.12641279999999,23 dk.,"14,1 km",MG-WZHAOPZ0KLRM0T1ZN6U7,40.8765881,29.2596582
DD-03CD53D651D542D383C6-2024-2-29,2024-2-29,MG-CYVLXXHQB244PVVXVYU5,40.9331636,29.12641279999999,36 dk.,"16,9 km",MG-SQXXEQ2NDMBM6FYLKIVH,41.025016,29.0188198
DD-DAED849087C244BDB567-2024-2-29,2024-2-29,MG-CYVLXXHQB244PVVXVYU5,40.9331636,29.12641279999999,19 dk.,"8,6 km",MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157
