current_id,current_latitude,current_longitude,duration,distance,next_id,next_latitude,next_longitude
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,15 dk.,"6,3 km",MG-3IZZSUUU6FDKQLKWHOPB,40.9633215,29.0860626
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,21 dk.,"12,4 km",MG-ZEYXNPOOQRFFM17CVHT4,40.9892774,29.0288635
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,23 dk.,"14,5 km",MG-FCQILG1RYT2W2HNIYPZC,40.983599,29.0237147
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,20 dk.,"12,0 km",MG-KTQH2ADWMARCG0DLHWKX,40.9845564,29.0477845
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,3 dk.,"1,4 km",MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,16 dk.,"12,1 km",MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,18 dk.,"12,0 km",MG-RCSKVKLO3QBCFEDUVI8R,40.922615,29.173975
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,29 dk.,"26,0 km",MG-UK1XOQD21BHA8OJA9NQV,41.1366471,29.090461
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,16 dk.,"10,9 km",MG-HKDDSLZ7DHNEXPDPO6OX,41.0010389,29.029593
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,17 dk.,"7,3 km",MG-FUHNVEMA2ZKC0HFBTCUT,40.96255,29.075716
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,19 dk.,"8,3 km",MG-NJ56INKIZI4WVHA0SBRH,40.9680529,29.0663491
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,24 dk.,"9,2 km",MG-OQKXLDBMXGBBSWW0MYXC,40.9688014,29.061672
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,8 dk.,"3,4 km",MG-XNG4VMYICFBH7V9KRD9P,40.9939749,29.1226758
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,18 dk.,"11,4 km",MG-VU46JMWBFPWZB2Z6G4IO,41.011559,29.0384443
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,20 dk.,"11,6 km",MG-7XO7X914F4YUUW5WBHF0,40.9918965,29.0290998
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,9 dk.,"4,5 km",MG-YAWROOME9WOI7UMDOJBC,40.96451829999999,29.1072718
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,7 dk.,"3,6 km",MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,20 dk.,"12,4 km",MG-PJTPBQMDNFYF13IHOERG,40.908962,29.161173
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,20 dk.,"17,6 km",MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,19 dk.,"15,1 km",MG-IA4YWZI8ZSBHVNYXTU3B,40.9313247,29.2141777
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,21 dk.,"17,3 km",MG-IRNSVKMNCXT4NDYFXQAD,40.9184004,29.2204548
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,19 dk.,"14,3 km",MG-LJ99NJO1WVXRTWLTYJSS,41.034379,29.181869
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,17 dk.,"7,4 km",MG-2SYSVZEF8KLLWLVNFAQR,40.9718981,29.0739874
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,23 dk.,"19,4 km",MG-R3US4EXI19IFYPJGBGGE,40.879326,29.258135
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,27 dk.,"20,2 km",MG-XS93CUGR22QDXP1C5RX3,40.8795759,29.2319681
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,16 dk.,"8,6 km",MG-CYVLXXHQB244PVVXVYU5,40.9331636,29.12641279999999
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,22 dk.,"22,4 km",MG-RBMDEQFETZUYWELTUTS7,40.9273563,29.31097
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,18 dk.,"14,1 km",MG-C1LGMZ7KTLQUDMPWOYLY,40.9696194,29.25556
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,16 dk.,"8,5 km",MG-CEDQAJNDAVIO6SAUBPVX,40.9864251,29.066357
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,11 dk.,"6,1 km",MG-0IPQOYIPCM4EQ8L5OLBI,40.9526798,29.1218732
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,15 dk.,"10,4 km",MG-PB1BQVMGF5OMPTYQKXFX,40.9194316,29.1668144
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,11 dk.,"5,7 km",MG-ZWI9E420TRNGRORREXG7,40.9899141,29.0844299
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,22 dk.,"19,8 km",MG-E6HEGRWU1J4PBBGLINBN,40.889254,29.2001113
