current_id,current_latitude,current_longitude,duration,distance,next_id,next_latitude,next_longitude
MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103,29 dk.,"22,2 km",MG-PJTPBQMDNFYF13IHOERG,40.908962,29.161173
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,3 dk.,"1,4 km",MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322
MG-HGLGFZLGIHSV4E8KEV0D,40.9980402,29.0997271,23 dk.,"17,8 km",MG-PLAUD8AN0LPMGFUJWAIO,40.9497961,29.173943
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,20 dk.,"8,5 km",MG-NJ56INKIZI4WVHA0SBRH,40.9680529,29.0663491
MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157,6 dk.,"2,1 km",MG-XNG4VMYICFBH7V9KRD9P,40.9939749,29.1226758
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,21 dk.,"19,8 km",MG-E6HEGRWU1J4PBBGLINBN,40.889254,29.2001113
MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,9 dk.,"4,9 km",MG-CEDQAJNDAVIO6SAUBPVX,40.9864251,29.066357
MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157,18 dk.,"9,3 km",MG-KTQH2ADWMARCG0DLHWKX,40.9845564,29.0477845
MG-XNG4VMYICFBH7V9KRD9P,40.9939749,29.1226758,10 dk.,"4,7 km",MG-ZWI9E420TRNGRORREXG7,40.9899141,29.0844299
MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103,24 dk.,"15,3 km",MG-OQKXLDBMXGBBSWW0MYXC,40.9688014,29.061672
MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,19 dk.,"11,4 km",MG-RCSKVKLO3QBCFEDUVI8R,40.922615,29.173975
MG-XNG4VMYICFBH7V9KRD9P,40.9939749,29.1226758,19 dk.,"16,6 km",MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229
MG-LJ99NJO1WVXRTWLTYJSS,41.034379,29.181869,21 dk.,"15,4 km",MG-VU46JMWBFPWZB2Z6G4IO,41.011559,29.0384443
MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229,21 dk.,"22,1 km",MG-HKDDSLZ7DHNEXPDPO6OX,41.0010389,29.029593
MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,19 dk.,"16,0 km",MG-PHFEHG3TXK15NYAUAKJV,41.0187193,29.1921149
MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157,14 dk.,"6,2 km",MG-MXSE2OEBH6HUM4ODCDN3,40.9511543,29.1021923
MG-PHFEHG3TXK15NYAUAKJV,41.0187193,29.1921149,18 dk.,"15,2 km",MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322
MG-UK1XOQD21BHA8OJA9NQV,41.1366471,29.090461,42 dk.,"39,6 km",MG-IRNSVKMNCXT4NDYFXQAD,40.9184004,29.2204548
MG-HGLGFZLGIHSV4E8KEV0D,40.9980402,29.0997271,16 dk.,"8,4 km",MG-7XO7X914F4YUUW5WBHF0,40.9918965,29.0290998
MG-LJ99NJO1WVXRTWLTYJSS,41.034379,29.181869,15 dk.,"12,1 km",MG-HGLGFZLGIHSV4E8KEV0D,40.9980402,29.0997271
MG-HGLGFZLGIHSV4E8KEV0D,40.9980402,29.0997271,14 dk.,"10,7 km",MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103
MG-UK1XOQD21BHA8OJA9NQV,41.1366471,29.090461,37 dk.,"30,3 km",MG-4JCGOHYUHUOCVVHKVKGE,40.9737143,29.0549652
MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229,25 dk.,"20,3 km",MG-3IZZSUUU6FDKQLKWHOPB,40.9633215,29.0860626
MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,20 dk.,"5,8 km",MG-FUHNVEMA2ZKC0HFBTCUT,40.96255,29.075716
MG-UK1XOQD21BHA8OJA9NQV,41.1366471,29.090461,30 dk.,"27,9 km",MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531
MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103,29 dk.,"22,7 km",MG-X9VCUJWHQBVPQAGDMGXV,40.8888229,29.1874825
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,15 dk.,"7,4 km",MG-2SYSVZEF8KLLWLVNFAQR,40.9718981,29.0739874
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,8 dk.,"3,4 km",MG-XNG4VMYICFBH7V9KRD9P,40.9939749,29.1226758
MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157,14 dk.,"6,8 km",MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,19 dk.,"15,1 km",MG-IA4YWZI8ZSBHVNYXTU3B,40.9313247,29.2141777
MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,22 dk.,"12,8 km",MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842
MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,21 dk.,"10,9 km",MG-FCQILG1RYT2W2HNIYPZC,40.983599,29.0237147
MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157,14 dk.,"7,0 km",MG-N5F1BSFYCBSWFCMPENYG,40.979588,29.0669776
MG-XNG4VMYICFBH7V9KRD9P,40.9939749,29.1226758,12 dk.,"5,4 km",MG-YAWROOME9WOI7UMDOJBC,40.96451829999999,29.1072718
MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,19 dk.,"11,2 km",MG-ZEYXNPOOQRFFM17CVHT4,40.9892774,29.0288635
MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229,29 dk.,"20,1 km",MG-FUHNVEMA2ZKC0HFBTCUT,40.96255,29.075716
MG-LJ99NJO1WVXRTWLTYJSS,41.034379,29.181869,27 dk.,"26,6 km",MG-UK1XOQD21BHA8OJA9NQV,41.1366471,29.090461
MG-LJ99NJO1WVXRTWLTYJSS,41.034379,29.181869,16 dk.,"14,2 km",MG-ZWI9E420TRNGRORREXG7,40.9899141,29.0844299
MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229,31 dk.,"26,7 km",MG-RCSKVKLO3QBCFEDUVI8R,40.922615,29.173975
MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,25 dk.,"19,1 km",MG-8Y7P0IPO1TEELN1HDSZ9,41.0291666,29.2241438
MG-HGLGFZLGIHSV4E8KEV0D,40.9980402,29.0997271,4 dk.,"1,8 km",MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184
MG-HGLGFZLGIHSV4E8KEV0D,40.9980402,29.0997271,12 dk.,"5,6 km",MG-HOSMOXLSEJUNB6YAGKCM,40.98186700000001,29.0576302
MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157,20 dk.,"11,4 km",MG-VISH8POGEX9TDVOGRACE,40.9227085,29.1342212
MG-UK1XOQD21BHA8OJA9NQV,41.1366471,29.090461,37 dk.,"29,1 km",MG-NJ56INKIZI4WVHA0SBRH,40.9680529,29.0663491
MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103,27 dk.,"16,4 km",MG-EJNHCVEPCM9TCEP7WQT3,40.9901694,29.0239624
MG-PHFEHG3TXK15NYAUAKJV,41.0187193,29.1921149,19 dk.,"14,4 km",MG-XNG4VMYICFBH7V9KRD9P,40.9939749,29.1226758
MG-XNG4VMYICFBH7V9KRD9P,40.9939749,29.1226758,17 dk.,"13,3 km",MG-LJ99NJO1WVXRTWLTYJSS,41.034379,29.181869
MG-UK1XOQD21BHA8OJA9NQV,41.1366471,29.090461,28 dk.,"26,1 km",MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322
MG-UK1XOQD21BHA8OJA9NQV,41.1366471,29.090461,43 dk.,"42,0 km",MG-E6HEGRWU1J4PBBGLINBN,40.889254,29.2001113
MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103,25 dk.,"19,1 km",MG-IRNSVKMNCXT4NDYFXQAD,40.9184004,29.2204548
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,18 dk.,"9,0 km",MG-KTQH2ADWMARCG0DLHWKX,40.9845564,29.0477845
MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,21 dk.,"11,9 km",MG-PJTPBQMDNFYF13IHOERG,40.908962,29.161173
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,5 dk.,"1,9 km",MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157
MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157,6 dk.,"3,4 km",MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,12 dk.,"5,2 km",MG-MXSE2OEBH6HUM4ODCDN3,40.9511543,29.1021923
MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229,35 dk.,"28,1 km",MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842
MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157,19 dk.,"11,9 km",MG-7XO7X914F4YUUW5WBHF0,40.9918965,29.0290998
MG-LJ99NJO1WVXRTWLTYJSS,41.034379,29.181869,19 dk.,"15,6 km",MG-YAWROOME9WOI7UMDOJBC,40.96451829999999,29.1072718
MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,9 dk.,"7,3 km",MG-HKDDSLZ7DHNEXPDPO6OX,41.0010389,29.029593
MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,12 dk.,"4,8 km",MG-3IZZSUUU6FDKQLKWHOPB,40.9633215,29.0860626
MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229,31 dk.,"23,8 km",MG-ZEYXNPOOQRFFM17CVHT4,40.9892774,29.0288635
MG-UK1XOQD21BHA8OJA9NQV,41.1366471,29.090461,29 dk.,"25,3 km",MG-XNG4VMYICFBH7V9KRD9P,40.9939749,29.1226758
MG-LJ99NJO1WVXRTWLTYJSS,41.034379,29.181869,17 dk.,"18,2 km",MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229
