id,current_id,current_latitude,current_longitude,duration,distance,next_id,next_latitude,next_longitude
DD-A7381D13D2964AC7BA92-2023-2-5,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,32 dk.,"30,6 km",MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531
DD-0CF56F7E5B6748589D89-2023-2-5,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,28 dk.,"20,4 km",MG-X9VCUJWHQBVPQAGDMGXV,40.8888229,29.1874825
DD-FB9689E6DCE14E149C7E-2023-2-5,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,42 dk.,"31,9 km",MG-3IZZSUUU6FDKQLKWHOPB,40.9633215,29.0860626
DD-2F105C737935414FBD21-2023-2-5,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,28 dk.,"20,3 km",MG-E6HEGRWU1J4PBBGLINBN,40.889254,29.2001113
DD-812C728C210A4F23B7F5-2023-2-5,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,33 dk.,"30,5 km",MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157
DD-C385DDDE74AE4FA7B6DF-2023-2-5,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,45 dk.,"37,3 km",MG-HKDDSLZ7DHNEXPDPO6OX,41.0010389,29.029593
DD-AF3DFB952EC14F90BCBA-2023-2-5,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,49 dk.,"38,9 km",MG-EJNHCVEPCM9TCEP7WQT3,40.9901694,29.0239624
DD-E3F453BCB93C44A4BA09-2023-2-5,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,48 dk.,"38,8 km",MG-ZEYXNPOOQRFFM17CVHT4,40.9892774,29.0288635
DD-D5FA4E6189034D2DA14E-2023-2-5,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,36 dk.,"32,9 km",MG-HGLGFZLGIHSV4E8KEV0D,40.9980402,29.0997271
DD-5A9D8CFFD46343809C92-2023-2-5,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,43 dk.,"33,9 km",MG-N5F1BSFYCBSWFCMPENYG,40.979588,29.0669776
DD-E03E9095999341BCBB28-2023-2-5,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,48 dk.,"37,8 km",MG-VU46JMWBFPWZB2Z6G4IO,41.011559,29.0384443
DD-DC82DAE2720F419CB000-2023-2-5,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,34 dk.,"28,9 km",MG-YAWROOME9WOI7UMDOJBC,40.96451829999999,29.1072718
DD-C32D4ED4F7644C4CAD47-2023-2-5,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,28 dk.,"19,8 km",MG-IRNSVKMNCXT4NDYFXQAD,40.9184004,29.2204548
DD-0685FB408B8F43C999F9-2023-2-5,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,43 dk.,"32,8 km",MG-FUHNVEMA2ZKC0HFBTCUT,40.96255,29.075716
DD-43B367612E6E407482D8-2023-2-5,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,36 dk.,"32,0 km",MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322
DD-A2DD0B8106BF4828B4FC-2023-2-5,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,27 dk.,"20,8 km",MG-IA4YWZI8ZSBHVNYXTU3B,40.9313247,29.2141777
DD-27BA7A2740E84E69989C-2023-2-5,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,37 dk.,"32,0 km",MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103
DD-39B5ECFAE1C34C4ABCF9-2023-2-5,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,28 dk.,"22,0 km",MG-RCSKVKLO3QBCFEDUVI8R,40.922615,29.173975
DD-F727866A3E3A42769588-2023-2-5,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,49 dk.,"40,3 km",MG-4JCGOHYUHUOCVVHKVKGE,40.9737143,29.0549652
DD-B30029897EB54B26B927-2023-2-5,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,41 dk.,"34,9 km",MG-CEDQAJNDAVIO6SAUBPVX,40.9864251,29.066357
DD-3E5C44E9DAA04948B798-2023-2-5,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,33 dk.,"39,4 km",MG-LJ99NJO1WVXRTWLTYJSS,41.034379,29.181869
DD-03133E5FDE4146A8B974-2023-2-5,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,44 dk.,"35,7 km",MG-HOSMOXLSEJUNB6YAGKCM,40.98186700000001,29.0576302
DD-7380E35093C34CF38E70-2023-2-5,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,37 dk.,"32,3 km",MG-ZWI9E420TRNGRORREXG7,40.9899141,29.0844299
DD-BBA93B270983465B910E-2023-2-5,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,49 dk.,"35,8 km",MG-OQKXLDBMXGBBSWW0MYXC,40.9688014,29.061672
DD-098E5EE300E54CF59850-2023-2-5,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,32 dk.,"22,8 km",MG-FPSXQ62YWQZ8GFRXNIUR,40.9191952,29.1641401
DD-5B85BD158FDC4CEA8240-2023-2-5,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,19 dk.,"13,8 km",MG-VVESJOL8ESQXP6VK308G,40.9193435,29.3015336
DD-C2FB2D635B844CFD9859-2023-2-5,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,33 dk.,"27,4 km",MG-0IPQOYIPCM4EQ8L5OLBI,40.9526798,29.1218732
DD-DF26B40B3FAE41649C94-2023-2-5,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,25 dk.,"17,3 km",MG-SWNY7GTJBI89E08T4JFL,40.8712304,29.2319842
DD-3F6C767FF371488AB13C-2023-2-5,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,23 dk.,"15,3 km",MG-XS93CUGR22QDXP1C5RX3,40.8795759,29.2319681
DD-086AA4C0A69E4AF0994A-2023-2-5,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,18 dk.,"13,1 km",MG-G8SER5RHTGTJXVCA9V2M,40.9395705,29.3176217
DD-CCC97ED893394445A5EB-2023-2-5,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,29 dk.,"21,3 km",MG-LEOVSQ2VO3KGWOCAKQNX,40.967565,29.26595
DD-3FD6E0EE433E4BCBBEF9-2023-2-5,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,21 dk.,"16,2 km",MG-I9OFJAAFBTRDZKGHPZHW,40.8157139,29.3126996
DD-CA97F5431A794541BACB-2023-2-5,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,41 dk.,"47,3 km",MG-WUCMUKQH4AYLUTRTG8LC,41.0253685,29.094
DD-7A7DB81F61854F5AB6AB-2023-2-5,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,20 dk.,"12,9 km",MG-WZHAOPZ0KLRM0T1ZN6U7,40.8765881,29.2596582
DD-E4045A7EA6BE4640955F-2023-2-5,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,41 dk.,"47,3 km",MG-STQFARWCNFZ85VRF7ZRK,41.0250387,29.1066022
DD-5A7E999DA3D44D3796F4-2023-2-5,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,40 dk.,"47,0 km",MG-W8BLMRKFKLFOQI1NLTYU,41.03332899999999,29.10136
DD-F5ADB999489B4230A78A-2023-2-5,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,46 dk.,"38,6 km",MG-BMYMWJ7TWHQPXZQNIFJV,41.0189417,29.0576298
DD-3DD31C681D3945F9A94D-2023-2-5,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,16 dk.,"12,0 km",MG-RBMDEQFETZUYWELTUTS7,40.9273563,29.31097
DD-A6AA11BF9120443D815A-2023-2-5,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,36 dk.,"28,4 km",MG-CYVLXXHQB244PVVXVYU5,40.9331636,29.12641279999999
DD-58649C24FA1D419B8711-2023-2-5,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,20 dk.,"13,3 km",MG-R3US4EXI19IFYPJGBGGE,40.879326,29.258135
DD-B92F4124CB1C4DD38F87-2023-2-5,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,56 dk.,"72,2 km",MG-HFPEK0FWPQMSTC1IXO72,41.175887,29.609898
DD-BD57D9C300B84409A61F-2023-2-5,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,34 dk.,"29,4 km",MG-LTWVHHDZLN26T8PU8VJM,41.0102647,29.2160216
DD-D74AD20B022042448AAE-2023-2-5,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,23 dk.,"14,8 km",MG-QI7EFZUASU1CI2X7OP2Z,40.877133,29.23435
DD-A3009611D0D04D10A599-2023-2-5,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,39 dk.,"46,5 km",MG-W3FTCGZLAAICT9DQCBSM,41.0326174,29.1135949
DD-B0C15C146EA444908B8A-2023-2-5,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,43 dk.,"36,3 km",MG-FXIUSMKIJMHQCE5JSKRR,41.007548,29.049733
DD-1B78C1214774474298C7-2023-2-5,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,45 dk.,"52,1 km",MG-VCPWSHSGQKT0FTISJRDN,41.0209485,29.0394974
DD-82F93B8005EF492A96F0-2023-2-5,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,43 dk.,"36,3 km",MG-0YQN4Q7IEZGB3TKJWO8H,41.024865,29.087227
