id,current_id,current_latitude,current_longitude,duration,distance,next_id,next_latitude,next_longitude
DD-1FAC2EDE87494176B449-2023-2-5,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,18 dk.,"8,5 km",MG-NJ56INKIZI4WVHA0SBRH,40.9680529,29.0663491
DD-E63300934BD44729AAFB-2023-2-5,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,19 dk.,"12,4 km",MG-ZEYXNPOOQRFFM17CVHT4,40.9892774,29.0288635
DD-56212973B1344A68B221-2023-2-5,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,23 dk.,"18,6 km",MG-8Y7P0IPO1TEELN1HDSZ9,41.0291666,29.2241438
DD-B496ECDA12E7479797BD-2023-2-5,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,3 dk.,"1,4 km",MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322
DD-09974BC28AC646F9B963-2023-2-5,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,20 dk.,"9,2 km",MG-OQKXLDBMXGBBSWW0MYXC,40.9688014,29.061672
DD-DB7F6C0E02E740298A26-2023-2-5,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,19 dk.,"13,7 km",MG-EJNHCVEPCM9TCEP7WQT3,40.9901694,29.0239624
DD-F6FEEAB4607242D0866F-2023-2-5,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,18 dk.,"9,3 km",MG-LJ99NJO1WVXRTWLTYJSS,41.034379,29.181869
DD-B596FD21BF7F47B4B06F-2023-2-5,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,18 dk.,"17,6 km",MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229
DD-60C2A33B2A9B4B508213-2023-2-5,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,7 dk.,"3,6 km",MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184
DD-81521F12DFAF40908360-2023-2-5,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,18 dk.,"12,4 km",MG-PJTPBQMDNFYF13IHOERG,40.908962,29.161173
DD-262FFD31BC324FB399EB-2023-2-5,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,18 dk.,"8,6 km",MG-PHFEHG3TXK15NYAUAKJV,41.0187193,29.1921149
DD-429A8764368C4288B61B-2023-2-5,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,15 dk.,"10,9 km",MG-HKDDSLZ7DHNEXPDPO6OX,41.0010389,29.029593
DD-D73245A1711445F494FC-2023-2-5,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,16 dk.,"11,4 km",MG-VU46JMWBFPWZB2Z6G4IO,41.011559,29.0384443
DD-CDD95FEDF72942568B1E-2023-2-5,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,19 dk.,"13,3 km",MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842
DD-69E6276E571E4C4BAE5E-2023-2-5,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,22 dk.,"14,5 km",MG-FCQILG1RYT2W2HNIYPZC,40.983599,29.0237147
DD-3E0469CD6A5E44CF85AD-2023-2-5,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,14 dk.,"7,4 km",MG-2SYSVZEF8KLLWLVNFAQR,40.9718981,29.0739874
DD-944ED07CEF5D4CA28A76-2023-2-5,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,8 dk.,"4,5 km",MG-YAWROOME9WOI7UMDOJBC,40.96451829999999,29.1072718
DD-176C34EC863D4C17AD08-2023-2-5,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,20 dk.,"9,7 km",MG-4JCGOHYUHUOCVVHKVKGE,40.9737143,29.0549652
DD-C71D3CC5385744EF97DC-2023-2-5,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,15 dk.,"7,3 km",MG-N5F1BSFYCBSWFCMPENYG,40.979588,29.0669776
DD-12A1840969124E388245-2023-2-5,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,17 dk.,"8,1 km",MG-HOSMOXLSEJUNB6YAGKCM,40.98186700000001,29.0576302
DD-255F5894A4494CF38DF9-2023-2-5,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,20 dk.,"19,8 km",MG-E6HEGRWU1J4PBBGLINBN,40.889254,29.2001113
DD-E0EC9FF6F71E4BA58C51-2023-2-5,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,18 dk.,"15,1 km",MG-IA4YWZI8ZSBHVNYXTU3B,40.9313247,29.2141777
DD-A16F972289524013A6FE-2023-2-5,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,10 dk.,"5,7 km",MG-ZWI9E420TRNGRORREXG7,40.9899141,29.0844299
DD-BC77CD9150D94578BC0C-2023-2-5,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,15 dk.,"9,4 km",MG-VISH8POGEX9TDVOGRACE,40.9227085,29.1342212
DD-B6349300C8FC4CA296C1-2023-2-5,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,23 dk.,"20,9 km",MG-X9VCUJWHQBVPQAGDMGXV,40.8888229,29.1874825
