current_id,current_latitude,current_longitude,duration,distance,next_id,next_latitude,next_longitude
MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103,20 dk.,"16,0 km",MG-GECDC2C5HLV93LCXOZ7S,40.9436066,29.1130171
MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103,15 dk.,"11,8 km",MG-VCPWSHSGQKT0FTISJRDN,41.0209485,29.0394974
MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103,10 dk.,"6,2 km",MG-W3FTCGZLAAICT9DQCBSM,41.0326174,29.1135949
MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103,22 dk.,"16,9 km",MG-IA4YWZI8ZSBHVNYXTU3B,40.9313247,29.2141777
MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103,12 dk.,"5,0 km",MG-WUCMUKQH4AYLUTRTG8LC,41.0253685,29.094
MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103,23 dk.,"18,2 km",MG-CYVLXXHQB244PVVXVYU5,40.9331636,29.12641279999999
MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103,18 dk.,"12,3 km",MG-BMYMWJ7TWHQPXZQNIFJV,41.0189417,29.0576298
MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103,17 dk.,"13,4 km",MG-N5F1BSFYCBSWFCMPENYG,40.979588,29.0669776
MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103,11 dk.,"7,1 km",MG-PHFEHG3TXK15NYAUAKJV,41.0187193,29.1921149
MG-PHFEHG3TXK15NYAUAKJV,41.0187193,29.1921149,23 dk.,"19,6 km",MG-GECDC2C5HLV93LCXOZ7S,40.9436066,29.1130171
MG-PHFEHG3TXK15NYAUAKJV,41.0187193,29.1921149,12 dk.,"5,2 km",MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103
MG-PHFEHG3TXK15NYAUAKJV,41.0187193,29.1921149,23 dk.,"17,6 km",MG-IA4YWZI8ZSBHVNYXTU3B,40.9313247,29.2141777
MG-PHFEHG3TXK15NYAUAKJV,41.0187193,29.1921149,20 dk.,"17,0 km",MG-N5F1BSFYCBSWFCMPENYG,40.979588,29.0669776
MG-PHFEHG3TXK15NYAUAKJV,41.0187193,29.1921149,13 dk.,"9,8 km",MG-W3FTCGZLAAICT9DQCBSM,41.0326174,29.1135949
MG-PHFEHG3TXK15NYAUAKJV,41.0187193,29.1921149,15 dk.,"10,7 km",MG-WUCMUKQH4AYLUTRTG8LC,41.0253685,29.094
MG-PHFEHG3TXK15NYAUAKJV,41.0187193,29.1921149,21 dk.,"15,9 km",MG-BMYMWJ7TWHQPXZQNIFJV,41.0189417,29.0576298
MG-PHFEHG3TXK15NYAUAKJV,41.0187193,29.1921149,26 dk.,"21,8 km",MG-CYVLXXHQB244PVVXVYU5,40.9331636,29.12641279999999
MG-PHFEHG3TXK15NYAUAKJV,41.0187193,29.1921149,18 dk.,"15,4 km",MG-VCPWSHSGQKT0FTISJRDN,41.0209485,29.0394974
MG-N5F1BSFYCBSWFCMPENYG,40.979588,29.0669776,19 dk.,"9,9 km",MG-CYVLXXHQB244PVVXVYU5,40.9331636,29.12641279999999
MG-N5F1BSFYCBSWFCMPENYG,40.979588,29.0669776,20 dk.,"14,6 km",MG-WUCMUKQH4AYLUTRTG8LC,41.0253685,29.094
MG-N5F1BSFYCBSWFCMPENYG,40.979588,29.0669776,20 dk.,"15,1 km",MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103
MG-N5F1BSFYCBSWFCMPENYG,40.979588,29.0669776,17 dk.,"6,9 km",MG-GECDC2C5HLV93LCXOZ7S,40.9436066,29.1130171
MG-N5F1BSFYCBSWFCMPENYG,40.979588,29.0669776,23 dk.,"18,5 km",MG-PHFEHG3TXK15NYAUAKJV,41.0187193,29.1921149
MG-N5F1BSFYCBSWFCMPENYG,40.979588,29.0669776,18 dk.,"10,3 km",MG-BMYMWJ7TWHQPXZQNIFJV,41.0189417,29.0576298
MG-N5F1BSFYCBSWFCMPENYG,40.979588,29.0669776,26 dk.,"21,8 km",MG-IA4YWZI8ZSBHVNYXTU3B,40.9313247,29.2141777
MG-N5F1BSFYCBSWFCMPENYG,40.979588,29.0669776,19 dk.,"13,8 km",MG-W3FTCGZLAAICT9DQCBSM,41.0326174,29.1135949
MG-N5F1BSFYCBSWFCMPENYG,40.979588,29.0669776,19 dk.,"8,5 km",MG-VCPWSHSGQKT0FTISJRDN,41.0209485,29.0394974
MG-IA4YWZI8ZSBHVNYXTU3B,40.9313247,29.2141777,22 dk.,"17,6 km",MG-N5F1BSFYCBSWFCMPENYG,40.979588,29.0669776
MG-IA4YWZI8ZSBHVNYXTU3B,40.9313247,29.2141777,20 dk.,"21,1 km",MG-W3FTCGZLAAICT9DQCBSM,41.0326174,29.1135949
MG-IA4YWZI8ZSBHVNYXTU3B,40.9313247,29.2141777,19 dk.,"15,8 km",MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103
MG-IA4YWZI8ZSBHVNYXTU3B,40.9313247,29.2141777,15 dk.,"12,2 km",MG-GECDC2C5HLV93LCXOZ7S,40.9436066,29.1130171
MG-IA4YWZI8ZSBHVNYXTU3B,40.9313247,29.2141777,15 dk.,"12,1 km",MG-CYVLXXHQB244PVVXVYU5,40.9331636,29.12641279999999
MG-IA4YWZI8ZSBHVNYXTU3B,40.9313247,29.2141777,25 dk.,"27,0 km",MG-VCPWSHSGQKT0FTISJRDN,41.0209485,29.0394974
MG-IA4YWZI8ZSBHVNYXTU3B,40.9313247,29.2141777,26 dk.,"23,6 km",MG-BMYMWJ7TWHQPXZQNIFJV,41.0189417,29.0576298
MG-IA4YWZI8ZSBHVNYXTU3B,40.9313247,29.2141777,21 dk.,"16,5 km",MG-PHFEHG3TXK15NYAUAKJV,41.0187193,29.1921149
MG-IA4YWZI8ZSBHVNYXTU3B,40.9313247,29.2141777,21 dk.,"21,6 km",MG-WUCMUKQH4AYLUTRTG8LC,41.0253685,29.094
MG-GECDC2C5HLV93LCXOZ7S,40.9436066,29.1130171,15 dk.,"11,2 km",MG-IA4YWZI8ZSBHVNYXTU3B,40.9313247,29.2141777
MG-GECDC2C5HLV93LCXOZ7S,40.9436066,29.1130171,22 dk.,"20,0 km",MG-PHFEHG3TXK15NYAUAKJV,41.0187193,29.1921149
MG-GECDC2C5HLV93LCXOZ7S,40.9436066,29.1130171,19 dk.,"16,6 km",MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103
MG-GECDC2C5HLV93LCXOZ7S,40.9436066,29.1130171,19 dk.,"16,1 km",MG-WUCMUKQH4AYLUTRTG8LC,41.0253685,29.094
